InvoiceHeader__InvoiceNumber,InvoiceHeader__AccountName,InvoiceHeader__AccountStreet,InvoiceHeader__AccountCity,InvoiceHeader__AccountZIP,InvoiceHeader__AccountCountry,InvoiceHeader__BillingAccountNumber,InvoiceHeader__BillingAccountName,InvoiceHeader__BillingAccountStreet,InvoiceHeader__BillingAccountCity,InvoiceHeader__BillingAccountZIP,InvoiceHeader__BillingAccountCountry,InvoiceHeader__IssueDate,InvoiceHeader__DueDate,InvoiceHeader__DeliveryDate,InvoiceHeader__Currency,InvoiceHeader__TotalNetAmount,InvoiceHeader__TotalVAT,InvoiceHeader__TotalAmount,InvoiceHeader__Taxes__TaxItem__TaxRate,InvoiceHeader__Taxes__TaxItem__TaxBase,InvoiceHeader__Taxes__TaxItem__TaxAmount,Subscribers__Subscriber__MSISDN,Subscribers__Subscriber__SubscriberTotalNETAmount,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__Site,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__FeeType,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__FeeName,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__PeriodStart,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__PeriodEnd,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__FeeUOM,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__FeeNetAmount,Subscribers__Subscriber__InvoiceLines__FeeLines__Fee__VAT,Subscribers__Subscriber__InvoiceLines__UsageLines,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__Site,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__UsageItemName,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__Amount,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__Volume,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__UsageUOM,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__UsageItemNetAmount,Subscribers__Subscriber__InvoiceLines__UsageLines__Usage__VAT
7100109474.0,NOVEM IT s.r.o.,Lichnerova,Senec,90301.0,Slovakia,BAC000006409,NOVEM IT s.r.o.- Mobile Voice,Lichnerova,Senec,90301.0,Slovakia,2024-12-02,2024-12-16,2024-12-02,EUR,1147.26,218.85,1366.11,0.0,53.02,0.0,421940946916,0.4007,NOVEM IT s.r.o.,recurring_arrears,e-Net Fér bez dát,2024-11-01,2024-11-30,Money,0.15,20%,,NOVEM IT s.r.o.,Volania do ostatných sietí SR,12.0,662.0,Second,0.2207,20%
,,,,,,,,,,,,,,,,,,,20.0,1094.24,218.85,421940946916,,NOVEM IT s.r.o.,recurring_arrears,Mesačný poplatok VPN,2024-11-01,2024-11-30,Money,0.03,20%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,421940946917,0.6131,NOVEM IT s.r.o.,recurring_arrears,e-Net Fér bez dát,2024-11-01,2024-11-30,Money,0.15,20%,,NOVEM IT s.r.o.,Volania do ostatných sietí SR,21.0,1299.0,Second,0.4331,20%
,,,,,,,,,,,,,,,,,,,,,,421940946917,,NOVEM IT s.r.o.,recurring_arrears,Mesačný poplatok VPN,2024-11-01,2024-11-30,Money,0.03,20%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,421905989688,9.53,NOVEM IT s.r.o.,recurring_arrears,e-Net nekonečno 20GB,2024-11-01,2024-11-30,Money,9.5,20%,,NOVEM IT s.r.o.,Volania v roamingu prijaté,1.0,45.0,Second,0.0,20%
,,,,,,,,,,,,,,,,,,,,,,421905989688,,NOVEM IT s.r.o.,recurring_arrears,Mesačný poplatok VPN,2024-11-01,2024-11-30,Money,0.03,20%,,NOVEM IT s.r.o.,Volania do ostatných sietí SR,176.0,26610.0,Second,0.0,20%
,,,,,,,,,,,,,,,,,,,,,,421905989688,,,,,,,,,,,NOVEM IT s.r.o.,Prenesené dáta v SR (MB),31.0,10191534080.0,Byte,0.0,20%
,,,,,,,,,,,,,,,,,,,,,,421905989688,,,,,,,,,,,NOVEM IT s.r.o.,Volania do siete O2 v rámci VPN,53.0,2847.0,Second,0.0,20%
,,,,,,,,,,,,,,,,,,,,,,421905989688,,,,,,,,,,,NOVEM IT s.r.o.,Volania do ostatných sietí SR,3.0,406.0,Second,0.0,20%
,,,,,,,,,,,,,,,,,,,,,,421905989688,,,,,,,,,,,NOVEM IT s.r.o.,Volania do siete O2,10.0,819.0,Second,0.0,20%
